title,image,ingredients,tags,cook_url,recipe_str,recipe_book_title,recipe_book_link
Ensalada templada de bacalao con pimientos del piquillo y patatas confitadas,http://www.recetags.com/assets/images/recetas/blog/_22l/big/6qvzu9-B_1.jpg,|Dos lomos de bacalao|250 ml de aceite de oliva virgen extra Picual|2 ajos|3 pimientos del piquillo|Una patata mediana,"['Primeros platos', 'Fácil', 'Pescados y Mariscos', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/6qvzu9-B/ensalada-templada-de-bacalao-con-pimientos-del-piquillo-y-patatas-confitadas,Dos lomos de bacalao250 ml de aceite de oliva virgen extra Picual2 ajos3 pimientos del piquilloUna patata mediana,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada templada de coles de Bruselas,http://www.recetags.com/assets/images/recetas/blog/oNqx/big/M9TqGmUe_1.jpg,|Para 4 personas:||500 gr. de coles de Bruselas|500 ml. de zumo de manzana|250 ml. de agua|Aceite de oliva|1 cucharada de vinagre de grosella y manzana|Pimienta fresca molida|60 gr. de Nueces troceadas|1 pimiento amarillo|Tomates cherry|Sal|4 obleas de papel de arroz|Aceite de oliva para freír,"['Vegetariana', 'Salado', 'Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/M9TqGmUe/ensalada-templada-de-coles-de-bruselas,Para 4 personas:500 gr. de coles de Bruselas500 ml. de zumo de manzana250 ml. de aguaAceite de oliva1 cucharada de vinagre de grosella y manzanaPimienta fresca molida60 gr. de Nueces troceadas1 pimiento amarilloTomates cherrySal4 obleas de papel de arrozAceite de oliva para freír,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de escarola y bacon,http://www.recetags.com/assets/images/recetas/blog/wIKF/big/P1c_FWxX_1.jpg,"|1 escarola fresca limpia|2 3 lonchas de bacon ahumado cortadas en tiras|2 cucharadas de piñones|1 cucharada de pasas (opcional)|2 huevos escalfados, fritos o pasados por agua, lo importante es que la yema esté líquida|2 cucharadas de queso azul suave, tipo gorgonzola|1 cucharada de nada líquida ligera|2 cucharadas de vinagre de módena|1 cucharada de aceite de oliva virgen extra|Sal y pimienta recién molidas|Queso parmesano o similar","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/P1c_FWxX/ensalada-de-escarola-y-bacon,"1 escarola fresca limpia2 3 lonchas de bacon ahumado cortadas en tiras2 cucharadas de piñones1 cucharada de pasas (opcional)2 huevos escalfados, fritos o pasados por agua, lo importante es que la yema esté líquida2 cucharadas de queso azul suave, tipo gorgonzola1 cucharada de nada líquida ligera2 cucharadas de vinagre de módena1 cucharada de aceite de oliva virgen extraSal y pimienta recién molidasQueso parmesano o similar",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de tomates asados especiados y mozzarella,http://www.recetags.com/assets/images/recetas/blog/Co6D/big/ELK9knI0_1.jpg,"|5 tomates en cuartos|3 dientes de ajo sin pelar|1 c.p. comino molido|1,5 c.p. hierbas provenzales|Sal|Pimienta|Aceite de oliva virgen extra|1 mozzarella fresca","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Huevos y Lácteos', 'Italiana']",http://www.recetags.com/preparacion/ELK9knI0/ensalada-de-tomates-asados-especiados-y-mozzarella,"5 tomates en cuartos3 dientes de ajo sin pelar1 c.p. comino molido1,5 c.p. hierbas provenzalesSalPimientaAceite de oliva virgen extra1 mozzarella fresca",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada templada de fabes al cabrales,http://www.recetags.com/assets/images/recetas/blog/3S_O/big/-aa3ON5V_1.jpg,|250 g. habas cocidas|500 g. codillo de cerdo|2 zanahorias grandes (para el guiso)|1 cebolla (para el guiso)|Brécol|1 manojo de espárragos trigueros|20 tomates cherry|Salsa de Cabrales|Aceite de oliva virgen extra|Sal (al gusto),"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Legumbres y Guisos']",http://www.recetags.com/preparacion/-aa3ON5V/ensalada-templada-de-fabes-al-cabrales,250 g. habas cocidas500 g. codillo de cerdo2 zanahorias grandes (para el guiso)1 cebolla (para el guiso)Brécol1 manojo de espárragos trigueros20 tomates cherrySalsa de CabralesAceite de oliva virgen extraSal (al gusto),Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de naranja y queso feta rebozado con vinagreta de albahaca,http://www.recetags.com/assets/images/recetas/blog/bw7j/big/2GedE_o2_1.jpg,"|Mezcla de hojas verdes (canónigos, rúcula, espinaca baby...)|Una naranja grande de Naranjas Ribera|200 grs de queso feta|Aceitunas negras cortadas en rodajas|1 huevo para rebozar|Harina para rebozar|Aceite|Sal","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/2GedE_o2/ensalada-de-naranja-y-queso-feta-rebozado-con-vinagreta-de-albahaca,"Mezcla de hojas verdes (canónigos, rúcula, espinaca baby...)Una naranja grande de Naranjas Ribera200 grs de queso fetaAceitunas negras cortadas en rodajas1 huevo para rebozarHarina para rebozarAceiteSal",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de invierno con queso de cabra al horno,http://www.recetags.com/assets/images/recetas/blog/CBwb/big/G68Fy0n7_1.jpg,|200g de ensalada|1 granada|1 pomelo|2 rodajas de rulo de queso de cabra|Harina para rebozar|1 huevo batido|Semillas de sésamo|Flor de sal y pimienta recién molida|1 cucharada de miel,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/G68Fy0n7/ensalada-de-invierno-con-queso-de-cabra-al-horno,200g de ensalada1 granada1 pomelo2 rodajas de rulo de queso de cabraHarina para rebozar1 huevo batidoSemillas de sésamoFlor de sal y pimienta recién molida1 cucharada de miel,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
"Ensalada de berenjena, granada y cus cus",http://www.recetags.com/assets/images/recetas/blog/rUT-/big/B1s7Relh_1.jpg,"|Ingredientes (para 2 personas)|1 berenjena grande|1 taza de cus cus precocido (casi todos lo son, fíjate en las instrucciones del paquete)|1 granada|Unas hojas de canónigos, (o la lechuga que prefieras)|Aceite de Oliva Virgen Extra|Vinagre al gusto (yo he usado balsámico blanco)|Sal|Pimienta negra recién molida","['Vegetariana', 'Salado', 'Primeros platos', 'Fácil', 'Pastas y Pizzas', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/B1s7Relh/ensalada-de-berenjena-granada-y-cus-cus,"Ingredientes (para 2 personas)1 berenjena grande1 taza de cus cus precocido (casi todos lo son, fíjate en las instrucciones del paquete)1 granadaUnas hojas de canónigos, (o la lechuga que prefieras)Aceite de Oliva Virgen ExtraVinagre al gusto (yo he usado balsámico blanco)SalPimienta negra recién molida",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
"Ensalada de espinacas, tres quesos, pan de higos y castañas caramelizadas",http://www.recetags.com/assets/images/recetas/blog/gxdH/big/YhZKdSRF_1.jpg,"|Espinacas|Pan de higos de Extremadura|Queso manchego semicurado El Consuelo|Queso Idiazabal de Arizcum, Navarra.|Queso Mahón curado cava de Menorca|Castañas secas (pilongas) de León|Flor de Sal, de Cádiz|Aceite de oliva virgen extra, de Granada|Vinagre de Jerez|Un poco de miel para la vinagreta o sirope dorado|Azúcar para caramelizar las castañas","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/YhZKdSRF/ensalada-de-espinacas-tres-quesos-pan-de-higos-y-castanas-caramelizadas,"EspinacasPan de higos de ExtremaduraQueso manchego semicurado El ConsueloQueso Idiazabal de Arizcum, Navarra.Queso Mahón curado cava de MenorcaCastañas secas (pilongas) de LeónFlor de Sal, de CádizAceite de oliva virgen extra, de GranadaVinagre de JerezUn poco de miel para la vinagreta o sirope doradoAzúcar para caramelizar las castañas",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Crema de judías verdes con foie y setas de cardo,http://www.recetags.com/assets/images/recetas/blog/y5Lt/big/eLw4v2_4_1.jpg,|700 gramos de judías verdes frescas|500 gramos de caldo de verduras (o de ave)|100 gramos de cebolla blanca|3 dientes de ajo|2 c/s de salsa de soja|200 250 gramos de foie mi cuit|2 setas de cardo (Pleurotus Eryngii)|2 ramitas de tomillo|2 c/s de piñones nacionales|Aceite de oliva virgen extra|Pimienta negra|Sal,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/eLw4v2_4/crema-de-judias-verdes-con-foie-y-setas-de-cardo,700 gramos de judías verdes frescas500 gramos de caldo de verduras (o de ave)100 gramos de cebolla blanca3 dientes de ajo2 c/s de salsa de soja200 250 gramos de foie mi cuit2 setas de cardo (Pleurotus Eryngii)2 ramitas de tomillo2 c/s de piñones nacionalesAceite de oliva virgen extraPimienta negraSal,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de puerros y mejillones al azafrán,http://www.recetags.com/assets/images/recetas/blog/GDbw/big/-oKNb4C8_1.jpg,|3 puerros|1/2 cebolla|1 pepino|1 patata|6 hojas de apio|Hebras de azafrán|Mejillones|1 hoja de laurel|1 zanahoria|Mezcla de especias|AOVE|Sal,"['Primeros platos', 'Fácil', 'Pescados y Mariscos', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/-oKNb4C8/crema-de-puerros-y-mejillones-al-azafran,3 puerros1/2 cebolla1 pepino1 patata6 hojas de apioHebras de azafránMejillones1 hoja de laurel1 zanahoriaMezcla de especiasAOVESal,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema fría de zanahorias y cardamomo,http://www.recetags.com/assets/images/recetas/blog/wrbJ/big/ryDkyy75_1.jpg,|½ kg de zanahorias|2 cebollas|100 g de yogur griego desnatado|100ml de aceite de oliva|50 ml de vino blanco|1 cucharadita de semillas de cardamomo o en polvo|Sal,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/ryDkyy75/crema-fria-de-zanahorias-y-cardamomo,½ kg de zanahorias2 cebollas100 g de yogur griego desnatado100ml de aceite de oliva50 ml de vino blanco1 cucharadita de semillas de cardamomo o en polvoSal,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de Puerro y Patata o Vichyssoise,http://www.recetags.com/assets/images/recetas/blog/CBwb/big/khwaO-dP_1.jpg,"|500g de patatas peladas y troceadas|500g de puerros a rodajas (incluida la parte verde tierna)|1,5 litros de caldo de ave casero|200 ml de nata ligera (o 300ml leche entera)|Sal y pimienta a gusto|2 3 cucharadas de cebollino picado","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/khwaO-dP/crema-de-puerro-y-patata-o-vichyssoise,"500g de patatas peladas y troceadas500g de puerros a rodajas (incluida la parte verde tierna)1,5 litros de caldo de ave casero200 ml de nata ligera (o 300ml leche entera)Sal y pimienta a gusto2 3 cucharadas de cebollino picado",Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de Brócoli,http://www.recetags.com/assets/images/recetas/blog/1pER/big/TocIavYW_1.jpg,|1 brócoli|1 manzana ácida (granny smith)|1 cebolla|Aceite de oliva virgen extra|200 ml de nata|Sal|Pimienta|Almendras laminadas|Pasas|Agua|30 grms de queso parmesano|40 grms de queso de untar|Un puñado de pasas,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/TocIavYW/crema-de-brocoli,1 brócoli1 manzana ácida (granny smith)1 cebollaAceite de oliva virgen extra200 ml de nataSalPimientaAlmendras laminadasPasasAgua30 grms de queso parmesano40 grms de queso de untarUn puñado de pasas,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de espárragos trigueros,http://www.recetags.com/assets/images/recetas/blog/oEw2/big/NuMWRBAa_1.jpg,|Ingredientes  para 4 raciones  :|750 g de esparragos|500 g de patata|1 cebolla hermosa|400 ml de nata|150 g de queso crema|Sal|Pimienta|Aceite de Oliva Virgen Extra,"['Salado', 'Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/NuMWRBAa/crema-de-esparragos-trigueros,Ingredientes  para 4 raciones  :750 g de esparragos500 g de patata1 cebolla hermosa400 ml de nata150 g de queso cremaSalPimientaAceite de Oliva Virgen Extra,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de Zanahorias,http://www.recetags.com/assets/images/recetas/blog/1pER/big/lvf6IqSg_1.jpg,|25 ml de aceite de oliva virgen extra|2 puerros o 1 cebolla|300 grms de zanahorias|500 ml de caldo de pollo o de verdura|100 grms de queso de untar|Sal|Pimienta,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/lvf6IqSg/crema-de-zanahorias,25 ml de aceite de oliva virgen extra2 puerros o 1 cebolla300 grms de zanahorias500 ml de caldo de pollo o de verdura100 grms de queso de untarSalPimienta,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de apionabo y manzana,http://www.recetags.com/assets/images/recetas/blog/qwcT/big/MM0jxXjL_1.jpg,|1 apionabo|1 manzana|100 ml de leche|Caldo de verduras|1 barrita de pan|Queso roquefort o azul|Avellanas tostadas y cortadas en laminitas|Aceite de oliva|Sal y pimienta,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/MM0jxXjL/crema-de-apionabo-y-manzana,1 apionabo1 manzana100 ml de lecheCaldo de verduras1 barrita de panQueso roquefort o azulAvellanas tostadas y cortadas en laminitasAceite de olivaSal y pimienta,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de coliflor con queso parmesano,http://www.recetags.com/assets/images/recetas/blog/wIKF/big/2d3IO_Ey_1.jpg,|1 coliflor mediana|1 cebolla|1 cucharada de sal marina|Aceite de oliva virgen extra|Agua|50 gr de queso parmesano,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/2d3IO_Ey/crema-de-coliflor-con-queso-parmesano,1 coliflor mediana1 cebolla1 cucharada de sal marinaAceite de oliva virgen extraAgua50 gr de queso parmesano,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de tomate y pimiento rojo asado,http://www.recetags.com/assets/images/recetas/blog/wrbJ/big/4GDVYP9-_1.jpg,"|6 tomates tipo pera, pelados y troceados|1 pimiento rojo asado y troceado|1 cebolla roja cortada a tiras|2 dientes de ajo picados|600 ml de caldo de verduras o pollo|Un manojo de albahaca picada|4 cucharadas soperas de aceite de oliva virgen extra|Un chorrito de leche evaporada|10 12 picatostes","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas', 'Mediterránea']",http://www.recetags.com/preparacion/4GDVYP9-/crema-de-tomate-y-pimiento-rojo-asado,"6 tomates tipo pera, pelados y troceados1 pimiento rojo asado y troceado1 cebolla roja cortada a tiras2 dientes de ajo picados600 ml de caldo de verduras o polloUn manojo de albahaca picada4 cucharadas soperas de aceite de oliva virgen extraUn chorrito de leche evaporada10 12 picatostes",Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de espinacas,http://www.recetags.com/assets/images/recetas/blog/bw7j/big/CJl3_NUd_1.jpg,|300 grs de espinacas frescas|30 grs de harina|200 ml de leche|10 grs de mantequilla|Un par de quesitos|Sal y pimienta negra,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/CJl3_NUd/crema-de-espinacas,300 grs de espinacas frescas30 grs de harina200 ml de leche10 grs de mantequillaUn par de quesitosSal y pimienta negra,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de coliflor y ajetes tiernos,http://www.recetags.com/assets/images/recetas/blog/mzL8/big/RF94ML2F_1.jpg,"|1 coliflor mediana|4 6 ajetes tiernos|Agua o caldo (de verdura o de ave)|Sal y pimienta(al gusto)|Brotes (para acompañar, yo utilicé de alfalfa)|Aceite de oliva vírgen extra","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/RF94ML2F/crema-de-coliflor-y-ajetes-tiernos,"1 coliflor mediana4 6 ajetes tiernosAgua o caldo (de verdura o de ave)Sal y pimienta(al gusto)Brotes (para acompañar, yo utilicé de alfalfa)Aceite de oliva vírgen extra",Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema de zanahoria con tahina,http://www.recetags.com/assets/images/recetas/blog/NnhN/big/AN_vUSJw_1.jpg,|2 cucharadas de aceite de oliva|1 kg de zanahorias|1 cebolla grande o 2 medianas|2 dientes de ajo grandes o 3 medianos|1/4 cucharadita de semillas de cilantro molidas|1/2 cucharadita de comino molido|1/2 cucharadita de sal|Una pizca de pimienta|1 l de caldo de verduras|Una rama de cilantro o perejil para decorar al final,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas', 'Legumbres y Guisos']",http://www.recetags.com/preparacion/AN_vUSJw/crema-de-zanahoria-con-tahina,2 cucharadas de aceite de oliva1 kg de zanahorias1 cebolla grande o 2 medianas2 dientes de ajo grandes o 3 medianos1/4 cucharadita de semillas de cilantro molidas1/2 cucharadita de comino molido1/2 cucharadita de salUna pizca de pimienta1 l de caldo de verdurasUna rama de cilantro o perejil para decorar al final,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Crema fría de remolacha,http://www.recetags.com/assets/images/recetas/blog/0j3u/big/N2lm_76__1.jpg,|300 gramos de remolacha cocida|2 yogures naturales|Eneldo al gusto|4 cucharadas de zumo de limón|½ cucharadita de sal,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas']",http://www.recetags.com/preparacion/N2lm_76_/crema-fria-de-remolacha,300 gramos de remolacha cocida2 yogures naturalesEneldo al gusto4 cucharadas de zumo de limón½ cucharadita de sal,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
Vichyssoise,http://www.recetags.com/assets/images/recetas/blog/Qr7g/big/c4kIol1A_1.jpg,|180ml de caldo de ave|200ml de nata líquida para cocinar|1 patata mediana (a poder ser de la variedad monalissa)|La parte blanca de tres puerros|3 cebollas medianas|Sal|Pimienta blanca|Aceite de oliva suave,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Sopas y Cremas', 'Verano']",http://www.recetags.com/preparacion/c4kIol1A/vichyssoise,180ml de caldo de ave200ml de nata líquida para cocinar1 patata mediana (a poder ser de la variedad monalissa)La parte blanca de tres puerros3 cebollas medianasSalPimienta blancaAceite de oliva suave,Cremas de Verduras,http://www.recetags.com/recetarios/27/recetas-cremas-verduras
